tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AABB|Asia Broadband Inc Common Stock|OTCN OTC LINK NQB IDQS|OTCN|6753871|171|2025-12-15
OTC|AABB|Asia Broadband Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|40313|3|2025-12-15
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|ARCA GLOBAL OTC|ARCA|12746|56|2025-12-15
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|OTCN OTC LINK NQB IDQS|OTCN|10563|54|2025-12-15
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|OTCX OTC LINK ECN ATS|OTCX|2646|28|2025-12-15
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|106824|25|2025-12-15
OTC|AAGAF|SILVER47 EXPL CORP COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|29850|14|2025-12-15
OTC|AAGC|All American Gold Corp. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|1055000|5|2025-12-15
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|ARCA GLOBAL OTC|ARCA|20013|5|2025-12-15
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|95144|19|2025-12-15
OTC|AAGFF|Aftermath Silver Ltd Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|910|4|2025-12-15
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|ARCA GLOBAL OTC|ARCA|258368|1004|2025-12-15
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCN OTC LINK NQB IDQS|OTCN|93919|288|2025-12-15
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCX OTC LINK ECN ATS|OTCX|74204|423|2025-12-15
OTC|AAIRF|AMERICAN AIRES INC COM NEW (Canada)|OTCX OTC LINK ECN ATS|OTCX|937|4|2025-12-15
OTC|AALNS|ARRIVED HOMES 4 LLC MEMBERSHIP INT SER ALLEN|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|350|36|2025-12-15
OTC|AAMCF|Altisource Asset Mgmt Corp|OTCX OTC LINK ECN ATS|OTCX|1838|3|2025-12-15
OTC|AARYS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER ARYA|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|567|56|2025-12-15
OTC|AATRL|AMG CAP TR II CONV TR 5.15% PFD SECS 10/15/2037|OTCX OTC LINK ECN ATS|OTCX|100|1|2025-12-15
OTC|AAUAF|ALMADEN MINERALS LTD COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|246|3|2025-12-15
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|ARCA GLOBAL OTC|ARCA|1750|26|2025-12-15
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|OTCN OTC LINK NQB IDQS|OTCN|2350|10|2025-12-15
OTC|AAVMY|Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands)|OTCX OTC LINK ECN ATS|OTCX|2503|37|2025-12-15
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|ARCA GLOBAL OTC|ARCA|1|1|2025-12-15
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|201|3|2025-12-15
OTC|AAVVF|Advantage Energy Ltd. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|300|3|2025-12-15
OTC|AAWH|ASCEND WELLNESS HOLDINGS INC CL A|OTCN OTC LINK NQB IDQS|OTCN|33200|16|2025-12-15
OTC|AAWH|ASCEND WELLNESS HOLDINGS INC CL A|OTCX OTC LINK ECN ATS|OTCX|34256|125|2025-12-15
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|204487|1710|2025-12-15
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|64072|412|2025-12-15
OTC|ABBNY|ABB LTD American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|53856|692|2025-12-15
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|ARCA GLOBAL OTC|ARCA|13147|30|2025-12-15
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|OTCN OTC LINK NQB IDQS|OTCN|28871|75|2025-12-15
OTC|ABBRF|ABRASILVER RESOURCE CORP COM NEW (Canada)|OTCX OTC LINK ECN ATS|OTCX|32777|113|2025-12-15
OTC|ABCP|AmBase Corporation Common Stock|OTCN OTC LINK NQB IDQS|OTCN|8465|3|2025-12-15
OTC|ABEPF|Vision Lithium Inc Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|23000|3|2025-12-15
OTC|ABEPF|Vision Lithium Inc Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|3508|6|2025-12-15
OTC|ABIT|ATHENA BITCOIN GLOBAL Common Stock|OTCN OTC LINK NQB IDQS|OTCN|940391|29|2025-12-15
OTC|ABMBF|Abcourt Mines Inc Cl-B (F) Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|121033|6|2025-12-15
OTC|ABMBF|Abcourt Mines Inc Cl-B (F) Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|90075|3|2025-12-15
OTC|ABNAF|Aben Gold Corp. Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|35000|3|2025-12-15
OTC|ABNAF|Aben Gold Corp. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|8000|1|2025-12-15
OTC|ABQQ|AB INTL GROUP CORP Common Stock|OTCN OTC LINK NQB IDQS|OTCN|3556764|14|2025-12-15
OTC|ABRKS|ARRIVED HOMES 4 LLC MEMBERSHIP INT SER BRECKENRIDGE|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|1003|95|2025-12-15
OTC|ABSSF|AIRBOSS OF AMER CORP COM NEW (Canada)|OTCN OTC LINK NQB IDQS|OTCN|300|1|2025-12-15
OTC|ABSSF|AIRBOSS OF AMER CORP COM NEW (Canada)|OTCX OTC LINK ECN ATS|OTCX|174|1|2025-12-15
OTC|ABXXF|ABAXX TECHNOLOGIES INC Common Shares|ARCA GLOBAL OTC|ARCA|11811|51|2025-12-15
OTC|ABXXF|ABAXX TECHNOLOGIES INC Common Shares|OTCN OTC LINK NQB IDQS|OTCN|14905|49|2025-12-15
OTC|ABXXF|ABAXX TECHNOLOGIES INC Common Shares|OTCX OTC LINK ECN ATS|OTCX|5839|40|2025-12-15
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|ARCA GLOBAL OTC|ARCA|20235|43|2025-12-15
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|OTCN OTC LINK NQB IDQS|OTCN|4144|14|2025-12-15
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|OTCX OTC LINK ECN ATS|OTCX|1010|4|2025-12-15
