# FINRA OTC Transparency Data - NMS Tier 1
# Week Ending: 2025-12-12 (Friday)
# Source: Test Fixture - EXTREME VALUES (outliers)
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
AAPL|NASDAQ|2025-12-12|999999999999|99999999|199999999999|10000000.00
AAPL|NYSE|2025-12-12|92000000|29000|18400000|3172.41
AAPL|CBOE|2025-12-12|42000000|16500|8400000|2545.45
MSFT|NASDAQ|2025-12-12|79000000|25000|15800000|3160.00
MSFT|NYSE|2025-12-12|1|1|0|1.00
MSFT|CBOE|2025-12-12|31000000|10500|6200000|2952.38
GOOGL|NASDAQ|2025-12-12|39000000|13500|7800000|2888.89
GOOGL|NYSE|2025-12-12|25000000|8200|5000000|3048.78
GOOGL|CBOE|2025-12-12|13500000|4500|2700000|3000.00
TSLA|NASDAQ|2025-12-12|-50000000|59000|34000000|847.46
TSLA|NYSE|2025-12-12|87000000|35000|17400000|2485.71
META|NASDAQ|2025-12-12|49000000|16500|9800000|2969.70
META|NYSE|2025-12-12|35000000|12500|7000000|2800.00
NVDA|NASDAQ|2025-12-12|205000000|66000|41000000|3106.06
NVDA|NYSE|2025-12-12|138000000|45000|27600000|3066.67
