# FINRA OTC Transparency Data - NMS Tier 1
# Week Ending: 2025-12-19 (Friday)
# Source: Test Fixture - MALFORMED DATA (wrong delimiter in some rows)
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
AAPL|NASDAQ|2025-12-19|120000000|43000|24000000|2790.70
AAPL,NYSE,2025-12-19,94000000,30000,18800000,3133.33
AAPL|CBOE|2025-12-19|43000000|17000|8600000|2529.41
MSFT|NASDAQ|2025-12-19|81000000|26000|16200000|3115.38
MSFT|NYSE|2025-12-19|63000000|20000|12600000|3150.00
MSFT,CBOE,2025-12-19,32000000,11000,6400000,2909.09
GOOGL|NASDAQ|2025-12-19|40000000|14000|8000000|2857.14
GOOGL|NYSE|2025-12-19|26000000|8500|5200000|3058.82
GOOGL|CBOE|2025-12-19|14000000|4700|2800000|2978.72
TSLA|NASDAQ|2025-12-19|170000000|61000|34000000|2786.89
TSLA,NYSE,2025-12-19,89000000,36000,17800000,2472.22
META|NASDAQ|2025-12-19|50000000|17000|10000000|2941.18
META|NYSE|2025-12-19|36000000|13000|7200000|2769.23
NVDA|NASDAQ|2025-12-19|210000000|68000|42000000|3088.24
NVDA|NYSE|2025-12-19|140000000|46000|28000000|3043.48
