# FINRA OTC Transparency Data - NMS Tier 1
# Week Ending: 2025-12-26 (Friday)
# Source: Test Fixture - HAS DUPLICATE ROWS
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
AAPL|NASDAQ|2025-12-26|122000000|44000|24400000|2772.73
AAPL|NYSE|2025-12-26|96000000|31000|19200000|3096.77
AAPL|CBOE|2025-12-26|44000000|17500|8800000|2514.29
AAPL|NASDAQ|2025-12-26|122000000|44000|24400000|2772.73
MSFT|NASDAQ|2025-12-26|83000000|27000|16600000|3074.07
MSFT|NYSE|2025-12-26|65000000|21000|13000000|3095.24
MSFT|CBOE|2025-12-26|33000000|11500|6600000|2869.57
GOOGL|NASDAQ|2025-12-26|41000000|14500|8200000|2827.59
GOOGL|NYSE|2025-12-26|27000000|8800|5400000|3068.18
GOOGL|NYSE|2025-12-26|27000000|8800|5400000|3068.18
GOOGL|CBOE|2025-12-26|14500000|4900|2900000|2959.18
TSLA|NASDAQ|2025-12-26|175000000|63000|35000000|2777.78
TSLA|NYSE|2025-12-26|92000000|37000|18400000|2486.49
META|NASDAQ|2025-12-26|51000000|17500|10200000|2914.29
META|NYSE|2025-12-26|37000000|13500|7400000|2740.74
NVDA|NASDAQ|2025-12-26|215000000|70000|43000000|3071.43
NVDA|NYSE|2025-12-26|142000000|47000|28400000|3021.28
NVDA|NYSE|2025-12-26|142000000|47000|28400000|3021.28
