# FINRA OTC Transparency Data - NMS Tier 2
# Week Ending: 2025-12-12 (Friday)
# Source: Test Fixture - INVALID DATE FORMAT
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
ZM|NASDAQ|12/12/2025|7900000|3900|1580000|2025.64
ZM|NYSE|2025-12-12|4100000|2000|820000|2050.00
SNAP|NYSE|2025-12-12|11200000|7900|2240000|1417.72
SNAP|CBOE|Dec 12, 2025|6200000|4000|1240000|1550.00
TWTR|NASDAQ|2025-12-12|8800000|5500|1760000|1600.00
TWTR|NYSE|2025-12-12|5600000|3200|1120000|1750.00
UBER|NYSE|2025-12-12|16900000|8900|3380000|1898.88
UBER|NASDAQ|2025/12/12|11900000|6900|2380000|1724.64
LYFT|NASDAQ|2025-12-12|6300000|4200|1260000|1500.00
PINS|NYSE|2025-12-12|6700000|4800|1340000|1395.83
