# FINRA OTC Transparency Data - NMS Tier 2
# Week Ending: 2025-12-26 (Friday)
# Source: Test Fixture - MISSING REQUIRED FIELDS
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
ZM|NASDAQ|2025-12-26|8300000|4100|1660000|2024.39
ZM|NYSE|2025-12-26||2050|820000|
SNAP|NYSE|2025-12-26|11800000|8300|2360000|1421.69
SNAP|CBOE|2025-12-26|6400000||1280000|
TWTR|NASDAQ|2025-12-26||5700|1820000|1614.04
TWTR|NYSE|2025-12-26|5700000|3300|1140000|1727.27
UBER|NYSE|2025-12-26|17700000|9300|3540000|1903.23
UBER||2025-12-26|12300000|7100|2460000|1732.39
LYFT|NASDAQ|2025-12-26|6700000|4400|1340000|1522.73
PINS|NYSE|2025-12-26|7100000|5000|1420000|1420.00
