# FINRA OTC Transparency Data - NMS Tier 2
# Week Ending: 2026-01-02 (Friday)
# Source: Test Fixture - NORMAL DATA
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
ZM|NASDAQ|2026-01-02|8500000|4200|1700000|2023.81
ZM|NYSE|2026-01-02|4200000|2100|840000|2000.00
SNAP|NYSE|2026-01-02|12000000|8500|2400000|1411.76
SNAP|CBOE|2026-01-02|6500000|4200|1300000|1547.62
TWTR|NASDAQ|2026-01-02|9200000|5800|1840000|1586.21
TWTR|NYSE|2026-01-02|5800000|3400|1160000|1705.88
UBER|NYSE|2026-01-02|18000000|9500|3600000|1894.74
UBER|NASDAQ|2026-01-02|12500000|7200|2500000|1736.11
LYFT|NASDAQ|2026-01-02|6800000|4500|1360000|1511.11
PINS|NYSE|2026-01-02|7200000|5100|1440000|1411.76
