# FINRA OTC Transparency Data - OTC
# Week Ending: 2025-12-12 (Friday)
# Source: Test Fixture - GOOD DATA (for comparison)
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
ABCD|OTC_PINK|2025-12-12|435000|1170|87000|371.79
ABCD|OTC_QB|2025-12-12|265000|820|53000|323.17
EFGH|OTC_PINK|2025-12-12|590000|1780|118000|331.46
EFGH|OTC_QB|2025-12-12|395000|1160|79000|340.52
IJKL|OTC_PINK|2025-12-12|172000|620|34400|277.42
MNOP|OTC_QB|2025-12-12|500000|1400|100000|357.14
MNOP|OTC_PINK|2025-12-12|330000|970|66000|340.21
QRST|OTC_PINK|2025-12-12|730000|2050|146000|356.10
QRST|OTC_QB|2025-12-12|468000|1350|93600|346.67
UVWX|OTC_PINK|2025-12-12|280000|800|56000|350.00
