# FINRA OTC Transparency Data - OTC
# Week Ending: 2025-12-26 (Friday)
# Source: Test Fixture - ZERO VOLUME ANOMALIES
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
ABCD|OTC_PINK|2025-12-26|0|0|0|0
ABCD|OTC_QB|2025-12-26|275000|840|55000|327.38
EFGH|OTC_PINK|2025-12-26|610000|1820|122000|335.16
EFGH|OTC_QB|2025-12-26|0|1180|0|0
IJKL|OTC_PINK|2025-12-26|177000|640|35400|276.56
MNOP|OTC_QB|2025-12-26|512000|1430|102400|358.04
MNOP|OTC_PINK|2025-12-26|335000|0|67000|0
QRST|OTC_PINK|2025-12-26|740000|2070|148000|357.49
QRST|OTC_QB|2025-12-26|473000|1360|94600|347.79
UVWX|OTC_PINK|2025-12-26|285000|810|57000|351.85
