# FINRA OTC Transparency Data - OTC
# Week Ending: 2026-01-02 (Friday)
# Source: Test Fixture - NORMAL DATA
Symbol|Venue|Date|TotalWeeklyShareVolume|TotalWeeklyTrades|AverageDailyShareVolume|AverageTradeSize
ABCD|OTC_PINK|2026-01-02|450000|1200|90000|375.00
ABCD|OTC_QB|2026-01-02|280000|850|56000|329.41
EFGH|OTC_PINK|2026-01-02|620000|1850|124000|335.14
EFGH|OTC_QB|2026-01-02|410000|1200|82000|341.67
IJKL|OTC_PINK|2026-01-02|180000|650|36000|276.92
MNOP|OTC_QB|2026-01-02|520000|1450|104000|358.62
MNOP|OTC_PINK|2026-01-02|340000|980|68000|346.94
QRST|OTC_PINK|2026-01-02|750000|2100|150000|357.14
QRST|OTC_QB|2026-01-02|480000|1380|96000|347.83
UVWX|OTC_PINK|2026-01-02|290000|820|58000|353.66
